Entity,Code,Year,Pregnant women receiving prenatal care (%)
Uzbekistan,UZB,2006,99
Uzbekistan,UZB,2010,96.6
Uzbekistan,UZB,2011,99.1
Uzbekistan,UZB,2012,99.8
Uzbekistan,UZB,2013,99.8
Uzbekistan,UZB,2014,99.8
Uzbekistan,UZB,2015,99.4
Vanuatu,VUT,2007,84.3
Vanuatu,VUT,2013,75.6
Venezuela,VEN,2000,94.1
Venezuela,VEN,2013,97.5
Vietnam,VNM,1997,70.6
Vietnam,VNM,2000,68.3
Vietnam,VNM,2002,86.4
Vietnam,VNM,2006,90.8
Vietnam,VNM,2011,93.7
Vietnam,VNM,2014,95.8
Vietnam,VNM,2021,97
World,OWID_WRL,2000,69.34204
World,OWID_WRL,2019,87.6316
Yemen,YEM,1992,29.6
Yemen,YEM,1997,36.7
Yemen,YEM,2003,41.4
Yemen,YEM,2006,47
Yemen,YEM,2013,59.8
Zambia,ZMB,1992,88.5
Zambia,ZMB,1996,92.3
Zambia,ZMB,1997,95.6
Zambia,ZMB,1999,83.1
Zambia,ZMB,2002,93.4
Zambia,ZMB,2007,93.7
Zambia,ZMB,2014,95.7
Zambia,ZMB,2018,96.9
Zambia,ZMB,2019,96.9
Zimbabwe,ZWE,1988,92.3
Zimbabwe,ZWE,1994,93.1
Zimbabwe,ZWE,1997,88.1
Zimbabwe,ZWE,1999,93.1
Zimbabwe,ZWE,2006,94.2
Zimbabwe,ZWE,2009,88.4
Zimbabwe,ZWE,2011,89.8
Zimbabwe,ZWE,2014,93.7
Zimbabwe,ZWE,2015,93.3
Zimbabwe,ZWE,2019,93.3
